src	dst	trial	bps
ap	eu	1	9579335.3620473649
ap	eu	1	36557376
ap	eu	1	104857706.25010766
ap	eu	1	115320292.1143427
ap	eu	1	125830507.51529993
ap	eu	1	125829120
ap	eu	1	125830252.51019293
ap	eu	1	125829120
ap	eu	1	125829877.50456023
ap	eu	1	125828235.00622447
ap	eu	2	4563023.8650238561
ap	eu	2	33186000.891378716
ap	eu	2	94377504.715006828
ap	eu	2	104862531.48191805
ap	eu	2	125831385.0407721
ap	eu	2	94354855.557302058
ap	eu	2	125837175.51567696
ap	eu	2	125835540.32757524
ap	eu	2	125836792.96786344
ap	eu	2	125828865.00051677
ap	eu	3	5558935.6682239864
ap	eu	3	34287454.3272872
ap	eu	3	115351088.01774335
ap	eu	3	125836170.39502211
ap	eu	3	125829622.50200675
ap	eu	3	94355417.8582009
ap	eu	3	125834782.75483251
ap	eu	3	125835915.36696211
ap	eu	3	125836672.95334244
ap	eu	3	125829997.5061195
ap	us	1	23282349.571347259
ap	us	1	94156672
ap	us	1	146783614.47480154
ap	us	1	136309420.21868783
ap	us	1	157287815.63774118
ap	us	1	157286559.3751615
ap	us	1	157287187.50394288
ap	us	1	157287028.12750843
ap	us	1	157287346.88070029
ap	us	1	157285612.50394282
ap	us	2	18845943.596706841
ap	us	2	82864787.965146273
ap	us	2	157284993.76257274
ap	us	2	157287656.26003379
ap	us	2	157286250.00014305
ap	us	2	157286559.3751615
ap	us	2	157286400
ap	us	2	157286400
ap	us	2	157286081.250646
ap	us	2	157284037.53548509
ap	us	3	14212629.370292766
ap	us	3	81206930.285273954
ap	us	3	157285462.50558791
ap	us	3	157284037.53548509
ap	us	3	157284506.27280074
ap	us	3	157281525.1510931
ap	us	3	157286250.00014305
ap	us	3	157284206.28059688
ap	us	3	157284206.28059688
ap	us	3	157283100.0692353
eu	ap	1	5906339.5830474524
eu	ap	1	31842488.388615493
eu	ap	1	73404065.191085547
eu	ap	1	94375333.254301
eu	ap	1	104861162.62103879
eu	ap	1	73386226.456610963
eu	ap	1	94376087.0661244
eu	ap	1	94375895.799297765
eu	ap	1	104862950.27297936
eu	ap	1	94375805.7916476
eu	ap	2	9196951.57015942
eu	ap	2	44279637.771646716
eu	ap	2	104857706.25010766
eu	ap	2	115320415.81498203
eu	ap	2	125830627.51806088
eu	ap	2	125827740.01513465
eu	ap	2	125831760.05539057
eu	ap	2	125829495.00111759
eu	ap	2	125828865.00051677
eu	ap	2	125829247.50012919
eu	ap	3	7378432.7561666332
eu	ap	3	33507850.572795559
eu	ap	3	94372312.502365723
eu	ap	3	115368741.20888484
eu	ap	3	104833905.35548282
eu	ap	3	115343593.75047371
eu	ap	3	104857500.00009537
eu	ap	3	115344164.38060954
eu	ap	3	115342892.50189482
eu	ap	3	115295859.5695743
eu	us	1	111135834.07302417
eu	us	1	346035958.2248553
eu	us	1	346035277.57806957
eu	us	1	346029048.75307333
eu	us	1	346030781.25142115
eu	us	1	346033545.03469741
eu	us	1	314560537.97799122
eu	us	1	346033895.6670748
eu	us	1	346033895.6670748
eu	us	1	346030430.6253553
eu	us	2	118474639.88696332
eu	us	2	346040454.68604487
eu	us	2	346030430.6253553
eu	us	2	346032843.77207428
eu	us	2	346031111.25307339
eu	us	2	346031812.50867432
eu	us	2	314562412.842994
eu	us	2	346036308.86212325
eu	us	2	346031461.88051856
eu	us	2	346028347.5086742
eu	us	3	114285751.33890322
eu	us	3	293603327.51427883
eu	us	3	283113528.764005
eu	us	3	293602155.0026077
eu	us	3	283112415.034053
eu	us	3	293605690.06624085
eu	us	3	283114102.507097
eu	us	3	293599810.00736
eu	us	3	283113832.51005822
eu	us	3	293599810.00736
us	ap	1	18776423.968414485
us	ap	1	80837137.910571128
us	ap	1	136314750.000124
us	ap	1	146778330.89080265
us	ap	1	157285762.50258386
us	ap	1	157287496.88264939
us	ap	1	157287496.88264939
us	ap	1	157288603.1558598
us	ap	1	157285762.50258386
us	ap	1	157285931.251397
us	ap	2	14606285.252003334
us	ap	2	89200972.6185102
us	ap	2	157285931.251397
us	ap	2	157283718.7957063
us	ap	2	157283718.7957063
us	ap	2	157284037.53548509
us	ap	2	157283718.7957063
us	ap	2	157282462.59856871
us	ap	2	157285143.76003361
us	ap	2	157281056.43154585
us	ap	3	27510130.706011958
us	ap	3	94121974.4839718
us	ap	3	157286718.750646
us	ap	3	157285143.76003361
us	ap	3	157286718.750646
us	ap	3	157286868.751397
us	ap	3	157286250.00014305
us	ap	3	157285762.50258386
us	ap	3	157285931.251397
us	ap	3	157281525.1510931
us	eu	1	126825823.34128428
us	eu	1	314667516.00984633
us	eu	1	346030781.25142115
us	eu	1	346034576.30842417
us	eu	1	325062144.41452485
us	eu	1	283114102.507097
us	eu	1	241172968.75099048
us	eu	1	262143750.00023842
us	eu	1	262146625.02628592
us	eu	1	272625405.06956583
us	eu	2	131055752.01438725
us	eu	2	325062454.42165726
us	eu	2	346035277.57806957
us	eu	2	346031111.25307339
us	eu	2	346033545.03469741
us	eu	2	325061815.0325945
us	eu	2	346029048.75307333
us	eu	2	314574693.76140058
us	eu	2	314559263.08255517
us	eu	2	346029048.75307333
us	eu	3	114286786.68461896
us	eu	3	230675885.50887936
us	eu	3	346036659.50010186
us	eu	3	251659245.00401351
us	eu	3	251654970.0424892
us	eu	3	272629500.000248
us	eu	3	262142687.50657138
us	eu	3	283116093.75116277
us	eu	3	293601875.0012058
us	eu	3	283114102.507097
